#This file was generated on Thu Mar 29 16:56:57 2018
#Using the somd command, of the molecular library Sire version <2017.2.0> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 20000 moves, 100 cycles and 4000 ps of simulation time 
#Generating lambda is		 0.10000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0)
#Generating temperature is 	25 C
#Energy was saved every 250 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
       0            6.55640942e+00            1.27899277e+01            9.87286844e-01            1.01286728e+00     9.901735642110909e+00     1.106595168562969e+01     1.243037854535044e+01     1.394821041653506e+01     1.561357178566895e+01     1.743191683546010e+01     1.941173255417067e+01     2.156219703830918e+01     2.389251615216678e+01     2.641168510147229e+01     2.912871449875898e+01
     250            2.89659125e+00            2.42880510e+00            9.97560093e-01            1.00241764e+00     4.795842297185492e+00     4.888886093047230e+00     5.224809378495489e+00     5.704221716302104e+00     6.302964966771689e+00     7.019034279567084e+00     7.857568277737564e+00     8.826206999361377e+00     9.933484355853546e+00     1.118818994901957e+01     1.259932807009061e+01
     500            3.35287745e+00            9.07291151e-01            9.99074472e-01            1.00088902e+00     5.739557751855902e+00     5.659009000262541e+00     5.844599703030957e+00     6.166196379279431e+00     6.595717886426160e+00     7.132306351004961e+00     7.782628025854248e+00     8.555387712990068e+00     9.459727060403024e+00     1.050473921226832e+01     1.169957090099499e+01
     750            3.32557551e+00           -7.74450023e-02            1.00005972e+00            9.99904831e-01     5.819911696347766e+00     5.612928604235519e+00     5.712164838850349e+00     5.958785096316371e+00     6.316009778589164e+00     6.779823410445776e+00     7.355579938800553e+00     8.051407331295650e+00     8.876200716285396e+00     9.838970020214427e+00     1.094885591046104e+01
    1000            5.26733077e+00           -2.30521975e+00            1.00228278e+00            9.97672450e-01     9.465593564282175e+00     8.890236118828359e+00     8.819659553391517e+00     8.940317221629158e+00     9.179901873697027e+00     9.525718512977098e+00     9.980987421964732e+00     1.055336062805632e+01     1.125167302502753e+01     1.208496307274029e+01     1.306244516429502e+01
    1250            8.70569967e+00           -2.14045244e+00            1.00212032e+00            9.97839512e-01     1.519189635560293e+01     1.469353815008570e+01     1.462587848960761e+01     1.474955219872613e+01     1.500363112954366e+01     1.537490146619327e+01     1.586455174582115e+01     1.647865348171660e+01     1.722507830078759e+01     1.811234213721751e+01     1.914938423409036e+01
    1500            5.37231595e+00            6.94087986e+00            9.93071116e-01            1.00695282e+00     8.639260936483522e+00     9.067430812402424e+00     9.902315625520620e+00     1.093230999644203e+01     1.211046607546266e+01     1.343155117473998e+01     1.490132570049483e+01     1.652840312254030e+01     1.832199709325440e+01     2.029124045746402e+01     2.244535622915257e+01
    1750            4.20118533e+00            5.46825157e+00            9.94532420e-01            1.00546882e+00     6.758508192120011e+00     7.090788704903080e+00     7.753784675814018e+00     8.581393565585524e+00     9.538051936704436e+00     1.062156450087101e+01     1.183853708027080e+01     1.319781176814612e+01     1.470865050123969e+01     1.638019181038430e+01     1.822163137807872e+01
    2000            5.24246825e+00           -1.43641818e-01            1.00012202e+00            9.99834742e-01     9.091522905806373e+00     8.848272984272542e+00     8.948223035672187e+00     9.198169095725209e+00     9.556715675400657e+00     1.002053863988747e+01     1.059615840954963e+01     1.129249640888983e+01     1.211887914781701e+01     1.308450404870338e+01     1.419857060773726e+01
    2250            3.61156598e+00            2.25978421e-01            9.99757287e-01            1.00020924e+00     6.353731817064801e+00     6.095625230560006e+00     6.260973172319007e+00     6.613148960089980e+00     7.095754025168955e+00     7.699120049647584e+00     8.426739237792596e+00     9.286061829025893e+00     1.028572980841334e+01     1.143465494639416e+01     1.274197601825316e+01
