#This file was generated on Tue Mar 27 16:16:11 2018
#Using the somd command, of the molecular library Sire version <2017.2.0> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 20000 moves, 100 cycles and 4000 ps of simulation time 
#Generating lambda is		 0.90000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1)
#Generating temperature is 	25 C
#Energy was saved every 250 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
       0            6.88545372e+00            6.29062802e+00            9.93722445e-01            1.00630370e+00     1.048964147679215e+01     1.003866315256314e+01     9.873844054824065e+00     9.837166428202627e+00     9.892133950398540e+00     1.003482711757495e+01     1.027064330892525e+01     1.060771832751267e+01     1.105493822359072e+01     1.162131486051805e+01     1.231597423799050e+01
     250            6.84160485e+00            4.23608199e+00            9.95765172e-01            1.00423730e+00     1.259636271654307e+01     1.160728357483136e+01     1.115243374793087e+01     1.090203159800488e+01     1.076829365308122e+01     1.072878971811651e+01     1.078114945611280e+01     1.092998776448366e+01     1.118259025644223e+01     1.154730644816092e+01     1.203309785452505e+01
     500            7.27727566e+00            5.14261378e+00            9.94862466e-01            1.00514766e+00     1.356959607158623e+01     1.213395160396365e+01     1.157294383509194e+01     1.130647573446116e+01     1.119101072401968e+01     1.118896228542557e+01     1.129287413269743e+01     1.150530167262482e+01     1.183259158298929e+01     1.228263454384880e+01     1.286418679048783e+01
     750            5.76567982e+00            5.45151078e+00            9.94557230e-01            1.00546024e+00     9.598684841316626e+00     8.921103352354493e+00     8.594624774440090e+00     8.439463799309715e+00     8.400391098678526e+00     8.461046815426013e+00     8.619325447109921e+00     8.879140798042176e+00     9.247161676231768e+00     9.731352984675219e+00     1.034041077333061e+01
    1000            1.29521137e+01            8.61131330e+00            9.91417319e-01            1.00864001e+00     2.063209187615969e+01     1.905385342031121e+01     1.878469409602264e+01     1.886463862139150e+01     1.909070930811303e+01     1.942232494934674e+01     1.985721705855237e+01     2.040243778779469e+01     2.106712771246561e+01     2.186066416862533e+01     2.279255027228444e+01
    1250            7.79309990e+00            9.32958219e+00            9.90704587e-01            1.00936385e+00     1.041610844747443e+01     9.778837651847855e+00     9.693882360916151e+00     9.826443975481270e+00     1.009097350709069e+01     1.046752097294821e+01     1.095541970862296e+01     1.156030734428037e+01     1.229004169591883e+01     1.315324615336877e+01     1.415902523370471e+01
    1500            9.70341298e+00           -9.63679788e-01            1.00095974e+00            9.99032385e-01     2.090602081286334e+01     1.974987744690348e+01     1.900605122647919e+01     1.841031434238756e+01     1.789548848639698e+01     1.744634653475367e+01     1.706332889686432e+01     1.675221287266125e+01     1.652075192695970e+01     1.637748534533040e+01     1.633135816935933e+01
    1750            8.40099346e+00            4.75491443e+00            9.95247563e-01            1.00475734e+00     1.624931203295888e+01     1.439768744805112e+01     1.373900929047927e+01     1.343058955213820e+01     1.327990769730897e+01     1.324123303684749e+01     1.330683743559012e+01     1.348013550210502e+01     1.376817541408895e+01     1.417925297664155e+01     1.472234884425587e+01
    2000            7.20770467e+00            5.00391639e+00            9.95001129e-01            1.00500893e+00     1.224437485045261e+01     1.163918684142652e+01     1.131839300489108e+01     1.113970474049297e+01     1.106321998250774e+01     1.108000470969067e+01     1.119183924263343e+01     1.140470425724379e+01     1.172633772790670e+01     1.216521216917597e+01     1.273024003719131e+01
    2250            7.07529465e+00            6.84987112e+00            9.93166252e-01            1.00686600e+00     1.042031308152059e+01     9.943938206240311e+00     9.821051819468490e+00     9.837300887614481e+00     9.945509021606023e+00     1.014068442551154e+01     1.042887933195407e+01     1.081891126095820e+01     1.132011123232537e+01     1.194172964250028e+01     1.269302590606897e+01
