#This file was generated on Thu Apr  5 15:53:35 2018
#Using the somd command, of the molecular library Sire version <2018.1.0> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 10000 moves, 100 cycles and 2000 ps of simulation time 
#Generating lambda is		 0.20000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0)
#Generating temperature is 	25 C
#Energy was saved every 250 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
       0           -7.14722537e+03            8.18323429e+00            9.91844921e-01            1.00821149e+00    -4.116653523456925e+00    -3.645919583666206e+00    -2.891222705257549e+00    -2.034673903623389e+00    -1.113939649445770e+00    -1.251076035417611e-01     9.467668201893757e-01     2.117884615528444e+00     3.402758937867276e+00     4.813637988791690e+00     6.367424350849055e+00
     250           -6.89701369e+03            8.30791489e+00            9.91716429e-01            1.00833228e+00     1.196585566717330e+00     1.498897673530246e+00     2.237024390224779e+00     3.119426133819057e+00     4.080857673508392e+00     5.119892549117754e+00     6.251109914566391e+00     7.490934336872477e+00     8.853678742557232e+00     1.035106427441049e+01     1.199845333579860e+01
     500           -6.81977622e+03            1.58936137e+01            9.84213031e-01            1.01600098e+00     6.362095175684313e+00     7.088963711017538e+00     8.534882563644684e+00     1.019360017862530e+01     1.194616848408019e+01     1.377964683395736e+01     1.570794691229671e+01     1.774923735316366e+01     1.991966561856045e+01     2.223240356797084e+01     2.470478098036705e+01
     750           -6.82429197e+03           -3.84325097e+00            1.00381388e+00            9.96127636e-01     2.093335919836502e+00    -2.238095363215094e+00    -3.237184506032267e+00    -3.360859342637436e+00    -3.223484104536949e+00    -2.975392421077626e+00    -2.641984034233117e+00    -2.215432957077506e+00    -1.681035799669834e+00    -1.024291766940660e+00    -2.241783821362974e-01
    1000           -6.80198193e+03            8.55341610e+00            9.91458890e-01            1.00856551e+00    -1.921800771255353e+00    -3.244691970725025e+00    -2.751385771124522e+00    -1.733939249973759e+00    -5.441097206912981e-01     7.335117370880414e-01     2.091573648574047e+00     3.543270041699548e+00     5.105109899841301e+00     6.792116793072423e+00     8.625502105608879e+00
    1250           -6.81767747e+03           -1.40266662e+00            1.00129901e+00            9.98493974e-01     1.562504285472846e+01     3.723329969313575e+00     1.893154966639691e+00     2.426009928418067e+00     3.592439347255230e+00     4.975929236643410e+00     6.482265987979683e+00     8.100259207469501e+00     9.838863513524737e+00     1.171032318500498e+01     1.373362758536978e+01
    1500           -6.76712716e+03            1.29926366e+01            9.87082105e-01            1.01306786e+00    -3.617664182459053e+00    -3.138149576097015e+00    -1.983588482328746e+00    -6.113350312156184e-01     8.556065526805022e-01     2.396675067537819e+00     4.021644953992894e+00     5.747498057650009e+00     7.590851010374992e+00     9.566118915202864e+00     1.169377047593544e+01
    1750           -6.75812272e+03           -7.45978852e+00            1.00739077e+00            9.92472493e-01     1.383478117535193e+01     2.902987184983509e+00     6.338693436072971e-01     5.032888782376305e-01     9.435134493029064e-01     1.563452970829427e+00     2.278020689021980e+00     3.083406412582169e+00     3.994975464004375e+00     5.030243287059211e+00     6.215419243899960e+00
    2000           -6.75097681e+03            2.60844013e+00            9.97374572e-01            1.00259135e+00     4.937977921293967e-01    -1.269411146846871e+00    -1.350746012441659e+00    -9.346175714180737e-01    -3.517845269755792e-01     3.162908187528346e-01     1.062350884665506e+00     1.899566276392600e+00     2.844600026316904e+00     3.912842475202552e+00     5.126377346419080e+00
    2250           -6.74009550e+03           -4.47221561e+00            1.00445657e+00            9.95512337e-01     1.630182794000404e+00    -1.140743856727184e+00    -1.988512147575072e+00    -2.242462846884330e+00    -2.274955931466764e+00    -2.187611401400416e+00    -1.999749134266719e+00    -1.705385460198983e+00    -1.291907234954103e+00    -7.460643534379191e-01    -4.635975211540046e-02
    2500           -6.71071347e+03            5.54419671e-01            9.99426095e-01            1.00053491e+00     3.574484292303926e+00     1.699726447771049e+00     1.432922623294534e+00     1.642512472613874e+00     2.036097407534787e+00     2.545437294509366e+00     3.164582906108155e+00     3.903845426320439e+00     4.776117371966095e+00     5.793107590699469e+00     6.971994631572507e+00
    2750           -6.74489438e+03           -2.20633579e+00            1.00219227e+00            9.97779663e-01     2.801476264436292e-01    -1.483038907259756e+00    -1.980329548322374e+00    -2.063169924620177e+00    -1.983856082002553e+00    -1.809577020017847e+00    -1.548153709857485e+00    -1.189160475248385e+00    -7.179958001906275e-01    -1.204490930320594e-01     6.251704759375583e-01
